EVT_757005_DESC;The American Syndicates officially recognize our state and they offer us a Friendship and Cooperation Treaty. Although their methods seem to be slightly different it seems that we strive towards the same goal, that of freeing the people from the oppression of Capitalism.;
EVT_757005_OPTIONA;Workers of the world, unite!;
EVT_757005_OPTIONB;We can not sign this just yet.;
EVT_757006_NAME;The Americans recognise us;
EVT_757006_DESC;The Syndicalists of America have officially recognized our newly created Soviet state!;
EVT_757006_OPTIONA;Good!;
EVT_757007_NAME;The Russians agree;
EVT_757007_DESC;The Soviet government has agreed to sign our Cooperation treaty. This is the beginning of a long and prosperous friendship between the Russian and the American peoples.;
EVT_757007_OPTIONA;Excellent;
EVT_757008_NAME;The Russians refuse;
EVT_757008_DESC;The Russians say that they are unable to sign our treaty just yet.;
EVT_757008_OPTIONA;Oh well.;
EVT_757009_NAME;Exporting the Revolution;
EVT_757009_DESC;Now that Soviet power is firmly established within the heartland of Russia we can now decide our stance regarding the rest of the world and how far-reaching our goals will be.;
EVT_757009_OPTIONA;We are happy with what we have.;
EVT_757009_OPTIONB;All rightfull russian lands must be ours!;
EVT_757009_OPTIONC;It is time to liberate the oppressed of Eurasia!;
EVT_757010_NAME;Relations with Siberia;
EVT_757010_DESC;Unable to cope with Russian oppression, the Siberian national assembly has declared its independence from Russia. Now that the days of the Russian government are numbered we must decide whether we should bring the revolution to Siberia or let them be for now?;
EVT_757010_OPTIONA;We will free ALL Russian workers!;
EVT_757010_OPTIONB;Recognize Siberia.;
EVT_757011_NAME;The Soviets declare War;
EVT_757011_DESC;As expected, the situation in European Russia did take a turn for the worse. The country has collapsed and a new Communist revolution has begun. The Reds have refused to recognize us as a free nation and now we are faced with the necessity of defending ourselves against the Bolshevik threat.;
EVT_757011_OPTIONA;If it's a war they want...;
EVT_757012_NAME;The Soviets recognized us!;
EVT_757012_DESC;As expected, the situation in European Russia did take a turn for the worse. The country has collapsed and a new Communist revolution has begun. Luckily, the new Bolshevik leadership is more forgiving and Soviet Russia has agreed to recognize our independence.;
EVT_757012_OPTIONA;Excellent!;
EVT_757013_NAME;Relations with Siberia;
EVT_757013_DESC;Unable to cope with Russian oppression, the Siberian national assembly has declared its independance from Russia. Now that the days of the Russian government are numbered we must decide whether we should bring the revolution to Siberia or recognize their independence in exchange for their help?;
EVT_757013_OPTIONA;We will free ALL Russian workers!;
EVT_757013_OPTIONB;Recognize Siberia and offer them an alliance.;
EVT_757013_OPTIONC;Ignore them, they will not last long.;
EVT_757014_NAME;The Soviets declare War;
EVT_757014_DESC;As expected, the situation in European Russia did take a turn for the worse. The country has collapsed and a new Communist revolution has begun. The Reds have refused to recognize us as a free nation and now we are faced with the necessity of defending ourselves against the Bolshevik threat.;
EVT_757014_OPTIONA;If it is war they want...;
EVT_757015_NAME;The Soviets recognized us;
EVT_757015_DESC;As expected, the situation in European Russia did take a turn for the worse. The country has collapsed and a new Communist revolution has begun. Luckily, the new Bolshevik leadership seems more than willing to compromise. They offer an official recognition of our independence in exchange for a coordinated effort in fighting the current Russian government.;
EVT_757015_OPTIONA;Excellent, now we are not alone!;
EVT_757015_OPTIONB;Refuse, the Bolsheviks aren't to be dealt with!;
EVT_757016_NAME;Siberia accepts!;
EVT_757016_DESC;The Siberian government has agreed to join forces in the war against the Russian regime.;
EVT_757016_OPTIONA;Good!;
EVT_757017_NAME;Siberia refuses!;
EVT_757017_DESC;The Siberian government has refused our generous offer to fight the oppressive Russian regime together. What shall we do?;
EVT_757017_OPTIONA;Let them be, their time will come!;
EVT_757017_OPTIONB;If they aren't with us they're against us!;
EVT_757018_NAME;Relations with Siberia;
EVT_757018_DESC;Now that the Whites are defeated the government needs to decide whether it is safe to remain with the new Soviet regime. Should we sever our ties with them?;
EVT_757018_OPTIONA;The Bolsheviks are dangerous partners!;
EVT_757018_OPTIONB;It is safer to stay on the winning side.;
EVT_757019_NAME;Siberia abandons us!;
EVT_757019_DESC;Now that the Revolution has succeeded, the treacherous leaders of Siberia have decided to abandon our cause.;
EVT_757019_OPTIONA;Let them be, their time will come!;
EVT_757019_OPTIONB;Ungrateful swines, this means war!;
EVT_753801_NAME;The integration of Don-Kuban Union;
EVT_753801_DESC;The areas of the former Cossack state are now firmly integrated into our growing socialist motherland.;
EVT_753801_OPTIONA; Great!;
EVT_753802_NAME;The fate of Finland;
EVT_753802_DESC;With the rebellious state of Finland finally crushed by the glorious Red Army the time has come to decide its fate. Shall we reincorporate it once more into our motherland or shall we preserve Finnish independence under our supervision?;
EVT_753802_OPTIONA;Continue the military occupation!;
EVT_753803_NAME;The integration of Finland;
EVT_753803_DESC;The areas of the former state of Finland are now firmly integrated into our growing socialist motherland.;
EVT_753803_OPTIONA; Great!;
EVT_753804_NAME;The fate of Manchuria;
EVT_753804_DESC;With Japan's puppet state Fengtien finally crushed by the glorious Red Army the time has come to decide its fate. Shall we reincorporate it once more into our motherland or shall we restore its independence under our supervision? Another course of action could be the establishment of a new order, not just in Manchuria but in China as a whole!;
EVT_753804_OPTIONA;Restore independent Manchuria!;
EVT_753804_OPTIONB;Restore the Republic of China!;
EVT_753804_OPTIONC;Integrate Manchuria!;
EVT_753804_OPTIOND;Continue the military occupation!;
EVT_753805_NAME;The integration of Manchuria;
EVT_753805_DESC;The areas of the former Japanese puppet state Fengtien are now firmly integrated into our growing socialist motherland.;
EVT_753805_OPTIONA;Great!;
EVT_753806_NAME;The integration of Alash-Orda;
EVT_753806_DESC;The areas of the former state of Alash-Orda are now firmly integrated into our growing socialist motherland.;
EVT_753806_OPTIONA;Great!;
EVT_753807_NAME;The fate of Xibei Lianbang Yiyuan;
EVT_753807_DESC;With the warlord state of Xibei Lianbang Yiyuan finally crushed by the glorious Red Army the time has come to decide its fate. Shall we reincorporate the eastern part of it, called Sinkiang, into our motherland or shall we restore its independence under our supervision? Another course of action could be the restoration of Xibei Lianbang Yiyuan.;
EVT_753807_OPTIONA;Restore independent Sinkiang and Xibei Lianbang Yiyuan!;
EVT_753807_OPTIONB;Restore independent Xibei Lianbang Yiyuan!;
EVT_753807_OPTIONC;Integrate Sinkiang and liberate Xibei Lianbang Yiyuan!;
EVT_753807_OPTIOND;Integrate Sinkiang and allow China to occupy the rest!;
EVT_753807_OPTIONE;Allow China to occupy Xibei Lianbang Yiyuan!;
EVT_753807_OPTIONF;Continue the military occupation!;
EVT_753808_NAME;The integration of Sinkiang;
EVT_753808_DESC;Sinkiang, once part of the warlord state of Xibei Lianbang Yiyuan, is now firmly integrated into our growing socialist motherland.;
EVT_753808_OPTIONA;Great!;
EVT_753809_NAME;The integration of Turkestan;
EVT_753809_DESC;The areas of the former state of Turkestan are now firmly integrated into our growing socialist motherland.;
EVT_753809_OPTIONA;Great!;
EVT_753810_NAME;The integration of Primorsk;
EVT_753810_DESC;The areas of the former state of Primorsk are now firmly integrated into our growing motherland.;
EVT_753810_OPTIONA;Great!;
EVT_753811_NAME;The integration of Southern Siberia;
EVT_753811_DESC;The areas once occupied by Mongolia are now firmly integrated into our growing motherland.;
EVT_753811_OPTIONA;Great!;
EVT_753812_NAME;The fate of Mongolia;
EVT_753812_DESC;With the rogue state of Mongolia finally crushed by the glorious Red Army the time has come to decide its fate. Shall we reincorporate it once more into our motherland or shall we preserve Mongolia's independence under our supervision?;
EVT_753812_OPTIONA;Continue the military occupation!;
EVT_753813_NAME;The integration of Mongolia;
EVT_753813_DESC;The areas of the former Mongolian state are now firmly integrated into our growing socialist motherland.;
EVT_753813_OPTIONA; Great!;
EVT_753814_NAME;The integration of White Ruthenia;
EVT_753814_DESC;The areas of the artificial state of White Ruthenia, created by the German Empire to weaken Russia, are now firmly integrated into our growing socialist motherland.;
EVT_753814_OPTIONA;Great!;
EVT_753815_NAME;The integration of Ukraine;
EVT_753815_DESC;The areas of the artificial state of Ukraine, created by the German Empire to weaken Russia, are now firmly integrated into our growing socialist motherland.;
EVT_753815_OPTIONA;Great!;
EVT_753816_NAME;The integration of Azerbaijan;
EVT_753816_DESC;The areas of the former state of Azerbaijan are now firmly integrated into our growing socialist motherland.;
EVT_753816_OPTIONA;Great!;
EVT_753817_NAME;The integration of Armenia;
EVT_753817_DESC;The areas of the former state of Armenia are now firmly integrated into our growing socialist motherland.;
EVT_753817_OPTIONA; Great!;
EVT_753818_NAME;The integration of Georgia;
EVT_753818_DESC;The areas of the former state of Georgia are now firmly integrated into our growing socialist motherland.;
EVT_753818_OPTIONA;Great!;
EVT_753819_NAME;The integration of United Baltic Duchy;
EVT_753819_DESC;The areas of the United Baltic Duchy, created by the German Empire to further weaken Russia, are now firmly integrated into our growing socialist motherland.;
EVT_753819_OPTIONA;Great!;
EVT_753820_NAME;The integration of Lithuania;
EVT_753820_DESC;The areas of the former state of Lithuania are now firmly integrated into our growing socialist motherland.;
EVT_753820_OPTIONA;Great!;
EVT_753821_NAME;The integration of Bessarabia;
EVT_753821_DESC;The region of Bessarabia, once unlawfully occupied by Romania, is now firmly integrated into our growing socialist motherland.;
EVT_753821_OPTIONA;Great!;
EVT_753822_NAME;The integration of Eastern Galicia;
